cntnum,deptcode,deptname,LOCATION,skcode,baribc,barsbc1,barsbc2,prname,bndname,model,color,soh,variance,posprice,cntqnt,prtype,rpname
00010F111124002,1,Audio,BS2+001+004,288112,             ,8858745628438,,SOUNDBAR JBL #BAR800PROBLKAS,JBL                           ,BAR800PROBLKAS,ไม่ระบุ,3,0,28405,2,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,288113,             ,8858745628469,,SOUNDBAR JBL #BAR1000PROBLKAS,JBL                           ,BAR1000PROBLKAS,ไม่ระบุ,2,0,34105,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00010,288113,             ,8858745628469,,SOUNDBAR JBL #BAR1000PROBLKAS,JBL                           ,BAR1000PROBLKAS,ไม่ระบุ,2,0,34105,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,288114,             ,8858745628490,,SOUNDBAR JBL #BAR1300BLKAS,JBL                           ,BAR1300BLKAS,ไม่ระบุ,2,0,47405,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00010,288114,             ,8858745628490,,SOUNDBAR JBL #BAR1300BLKAS,JBL                           ,BAR1300BLKAS,ไม่ระบุ,2,0,47405,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,289735,             ,8858745628612,,RECIVER DENON #AVR-X580BT,DENON                         ,AVR-X580BT,ไม่ระบุ,1,0,18905,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,294306,             ,8858745629060,,SPEAKER JBL #IRX ONE,JBL                           ,IRX ONE,ไม่ระบุ,3,0,31188,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,294306,             ,8858745629060,,SPEAKER JBL #IRX ONE,JBL                           ,IRX ONE,ไม่ระบุ,3,0,31188,2,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,294726,             ,8858745628995,,AV COMPACT HD SET 2 DENON AVR-X1700+CINEMA510,DENON                         ,AVR-X1700+CINEMA510,ไม่ระบุ,1,0,28900,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+00002,295080,             ,8858745628865,,PA SPEAKER JBL #PARTYBOX ULTIMATE,JBL                           ,PARTYBOX ULTIMATE,ไม่ระบุ,2,0,59900,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,295080,             ,8858745628865,,PA SPEAKER JBL #PARTYBOX ULTIMATE,JBL                           ,PARTYBOX ULTIMATE,ไม่ระบุ,2,0,59900,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,298626,             ,8858745630547,,SPEAKER JBL #PARTYBOX320,JBL                           ,PARTYBOX320,ไม่ระบุ,4,0,25900,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,298626,             ,8858745630547,,SPEAKER JBL #PARTYBOX320,JBL                           ,PARTYBOX320,ไม่ระบุ,4,0,25900,3,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,298628,             ,8858745630530,,SPEAKER JBL #PARTYBOX CLUB 120,JBL                           ,PARTYBOX CLUB 120,ไม่ระบุ,4,0,18900,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,298628,             ,8858745630530,,SPEAKER JBL #PARTYBOX CLUB 120,JBL                           ,PARTYBOX CLUB 120,ไม่ระบุ,4,0,18900,3,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,298630,             ,8858745630516,,SPEAKER JBL #PARTYBOX ON THE GO ESSENTIAL,JBL                           ,ON THE GO ESSENTIAL,ไม่ระบุ,3,0,18900,3,Consign,VAR2
00010F111124002,2,Visual Product,SFL+001+00008,259392,             ,8857119246018,,เครื่องเล่น DVD COMPRO #DVD-299,COMPRO                        ,DVD-299,ไม่ระบุ,6,0,1849,6,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,149007,             ,8854531002154,,_ ปลั๊กแปลง2ขา TOSHI #PS18A,TOSHINO                       ,PS18A          ,ไม่ระบุ,3,0,65,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,149009,             ,8854531002178,,_ ปลั๊กแปลง2ขา TOSHI #PS18E,TOSHINO                       ,PS-18E         ,ไม่ระบุ,11,0,65,11,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,149235,             ,8854531002079,,_ ปลั๊กขาแบน TOSHINO #CO-6S,TOSHINO                       ,CO-6S          ,ไม่ระบุ,2,0,70,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,162992,             ,8854531002819,,_ ปลั๊กแปลง SU2F TOSHI #DD-P2S,TOSHINO                       ,DD-P2S         ,ไม่ระบุ,3,0,115,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,188181,             ,6904531001335,,_ ปลั๊กแปลงขาแบน TOSHINO #FO-6S,TOSHINO                       ,FO-6S          ,ไม่ระบุ,5,0,115,5,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,197816,             ,722868480137,,_ สายLAN10M BELKIN#A3L980AU10M-B,BELKIN                        ,A3L980AU10M-B  ,ไม่ระบุ,1,0,650,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,198547,             ,8853038003213,,เต้ารับ 3ขา 1ช่อง DATA #DP4   ,DATA                          ,DP4,ไม่ระบุ,1,0,89,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,225292,             ,722868480120,,_ สาย LAN BELKIN #A3L980AU05M-BLS,BELKIN                        ,A3L980AU05M-BLS,ไม่ระบุ,1,0,450,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,225293,             ,722868480144,,_ สาย LAN BELKIN #A3L980AU15M-BLS,BELKIN                        ,A3L980AU15M-BLS,ไม่ระบุ,2,0,900,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,228687,             ,6904531004114,,_ ปลั๊กแปลง 2 ขาแบน 3500W TOSHINO #EA-E,TOSHINO                       ,EA-E,ไม่ระบุ,6,0,130,6,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,243827,             ,745883713370,,USB-A TO USB-B CABLE BELKIN #F3U154BT3M,BELKIN                        ,F3U154BT3M,ไม่ระบุ,1,0,350,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,243828,             ,745883713363,,USB-A TO USB-B CABLE BELKIN #F3U154BT4.8M,BELKIN                        ,F3U154BT4.8M,ไม่ระบุ,1,0,400,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,253757,             ,6920680852758,,เอ็กซ์โอ หูฟัง MOVADA #XO-S6,MOVADA                        ,XO-S6,ไม่ระบุ,2,0,89,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,259486,             ,6950125747240,,ชุดแป้นตัวเลข WIRELESS NUMERIC KEYPAD MOFII #BISCUIT PINK,MOFII,BISCUIT PINK,ไม่ระบุ,3,0,390,3,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00003,259490,             ,6950125748087,,ชุดแป้นตัวเลข WIRELESS NUMERIC KEYPAD MOFII #CRACKER PINK,MOFII,CRACKER PINK,ไม่ระบุ,3,0,350,3,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00003,259491,             ,6950125748094,,ชุดแป้นตัวเลข WIRELESS NUMERIC KEYPAD MOFII #CRACKER BLUE,MOFII,CRACKER BLUE,ไม่ระบุ,1,0,350,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,259718,             ,2000002597186,,CONNECTER USB TYPE C UGREEN #50570 BK,UGREEN,50570 BK,ไม่ระบุ,2,0,1290,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,260961,             ,2000002609612,,CONNECTER USB-C TO HDMI ADAPTER UGREEN #70444 BK,UGREEN,70444 BK,ไม่ระบุ,3,0,1590,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,262583,             ,2000002625834,,WALL CHARGER ADAPTER AUKEY #PA-U32 12W BK,AUKEY,PA-U32 12W BK,ไม่ระบุ,2,0,490,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,262585,             ,2000002625858,,UNIVERSAL TRAVEL ADAPTER AUKEY #PA-T01 BK,AUKEY,PA-T01 BK,ไม่ระบุ,18,0,990,2,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00002,262585,             ,2000002625858,,UNIVERSAL TRAVEL ADAPTER AUKEY #PA-T01 BK,AUKEY,PA-T01 BK,ไม่ระบุ,18,0,990,7,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,262585,             ,2000002625858,,UNIVERSAL TRAVEL ADAPTER AUKEY #PA-T01 BK,AUKEY,PA-T01 BK,ไม่ระบุ,18,0,990,9,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263569,             ,2000002635697,,POWER STRIP 3 ช่อง 3M PANASONIC #3M BK 24332B,PANASONIC                     ,3M BK 24332B,ไม่ระบุ,4,0,625,4,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263572,             ,2000002635727,,POWER STRIP 3 ช่อง 2M PANASONIC #2M WH 24232W,PANASONIC                     ,2M WH 24232W,ไม่ระบุ,1,0,545,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263573,             ,2000002635734,,POWER STRIP 3 ช่อง 2M PANASONIC #2M BK 24232B,PANASONIC                     ,2M BK 24232B,ไม่ระบุ,3,0,545,3,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00002,263574,             ,2000002635741,,POWER STRIP 3 ช่อง 3M PANASONIC #3M WH 24332W,PANASONIC                     ,3M WH 24332W,ไม่ระบุ,5,0,625,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263574,             ,2000002635741,,POWER STRIP 3 ช่อง 3M PANASONIC #3M WH 24332W,PANASONIC                     ,3M WH 24332W,ไม่ระบุ,5,0,625,4,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00002,263575,             ,2000002635758,,POWER STRIP 3ช่อง+USB2 ช่อง 3M PANASONIC #3M USB2 WH 243322W,PANASONIC                     ,3M USB2 WH 243322W,ไม่ระบุ,3,0,1090,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263575,             ,2000002635758,,POWER STRIP 3ช่อง+USB2 ช่อง 3M PANASONIC #3M USB2 WH 243322W,PANASONIC                     ,3M USB2 WH 243322W,ไม่ระบุ,3,0,1090,2,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00002,263576,             ,2000002635765,,POWER STRIP 3ช่อง+USB2 ช่อง 3M PANASONIC #3M USB2 BK 243322B,PANASONIC                     ,3M USB2 BK 243322B,ไม่ระบุ,3,0,1090,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263576,             ,2000002635765,,POWER STRIP 3ช่อง+USB2 ช่อง 3M PANASONIC #3M USB2 BK 243322B,PANASONIC                     ,3M USB2 BK 243322B,ไม่ระบุ,3,0,1090,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263577,             ,2000002635772,,POWER STRIP 3ช่อง+USB2 ช่อง 2M PANASONIC #2M USB2 WH 242322W,PANASONIC                     ,2M USB2 WH 242322W,ไม่ระบุ,2,0,990,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263580,             ,2000002635802,,POWER STRIP 3ช่อง+USB2 ช่อง 2M PANASONIC #2M USB2 BK 242322B,PANASONIC                     ,2M USB2 BK 242322B,ไม่ระบุ,2,0,990,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,263581,             ,2000002635819,,POWER STRIP 5ช่อง 3M PANASONIC  #3M BRAKER WH  28352 ,PANASONIC                     ,3M BRAKER WH  28352 ,ไม่ระบุ,2,0,1140,2,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00002,265127,             ,2000002651277,,POWER STRIP 3 ช่อง 3M PANASONIC #3M BRAKER WH 28334 WHITE,PANASONIC                     ,3M BRAKER WH 28334 W,ไม่ระบุ,3,0,1560,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,265127,             ,2000002651277,,POWER STRIP 3 ช่อง 3M PANASONIC #3M BRAKER WH 28334 WHITE,PANASONIC                     ,3M BRAKER WH 28334 W,ไม่ระบุ,3,0,1560,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,266302,             ,2000002663027,,CAR CHARGER AUKEY #CC-A3 BK,AUKEY,CC-A3 BK,ไม่ระบุ,5,0,890,5,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,266307,             ,2000002663072,,10000 MAH POWER BANK ALPHAX #E10 10000 MAH BK,ALPHAX,E10 10000 MAH BK,ไม่ระบุ,4,0,690,4,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,266308,             ,2000002663089,,10000 MAH POWER BANK ALPHAX #E10 10000 MAH GN,ALPHAX,E10 10000 MAH GN,ไม่ระบุ,7,0,690,7,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,266309,             ,2000002663096,,20000 MAH POWER BANK ALPHAX #E20 20000 MAH BK,ALPHAX,E20 20000 MAH BK,ไม่ระบุ,1,0,990,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,266310,             ,2000002663102,,20000 MAH POWER BANK ALPHAX #E20 20000 MAH GN,ALPHAX,E20 20000 MAH GN,ไม่ระบุ,1,0,990,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,269746,             ,8859221716878,,MOUSE WIRELESS SILENT CLICK ANITECH #W224-BK,ANITECH                       ,W224-BK,ไม่ระบุ,3,0,179,3,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00003,269747,             ,8859221716885,,MOUSE WIRELESS SILENT CLICK ANITECH #W224-WH,ANITECH                       ,W224-WH,ไม่ระบุ,2,0,179,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,269747,             ,8859221716885,,MOUSE WIRELESS SILENT CLICK ANITECH #W224-WH,ANITECH                       ,W224-WH,ไม่ระบุ,2,0,179,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,269748,             ,8859221717615,,MOUSE WIRELESS ANITECH #W227 BK,ANITECH                       ,W227 BK,ไม่ระบุ,1,0,169,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269895,             ,8857126925159,,KEYBOARD SUPPORT PAD BEWELL #KEYBOARDSUPPORTOF004,BEWELL,KEYBOARDSUPPORTOF004,ไม่ระบุ,3,0,690,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269897,             ,8857126925142,,MOUSE PAD ERGONOMIC BEWELL #MOUSEPADOF003,BEWELL,MOUSEPADOF003,ไม่ระบุ,1,0,590,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269899,             ,8857126925012,,ERGO-CUSHION SERIE BACK EC-01 BEWELL #ERGOCUSHIONBACKEC01 ,BEWELL,ERGOCUSHIONBACKEC01 ,ไม่ระบุ,2,0,1490,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269900,             ,8857126925029,,ERGO-CUSHION SERIESEAT EC-02 BEWELL #ERGOCUSHIONSEATEC2 GY,BEWELL,ERGOCUSHIONSEATEC2,ไม่ระบุ,2,0,1290,2,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00005,269901,             ,8859095880842,,SEAT BACK BETTER BACK 3 H-06 BEWELL #BETTERBACK3H06BLACK,BEWELL,BETTERBACK3H06BLACK,ไม่ระบุ,2,0,750,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269901,             ,8859095880842,,SEAT BACK BETTER BACK 3 H-06 BEWELL #BETTERBACK3H06BLACK,BEWELL,BETTERBACK3H06BLACK,ไม่ระบุ,2,0,750,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269903,             ,8859095852528,,SEAT BACK BETTER BACK 3 H-06 BEWELL #BETTERBACK3H06BLUE,BEWELL,BETTERBACK3H06BLUE,ไม่ระบุ,1,0,750,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269908,             ,8859095856366,,SEAT BACK HEALTHY SEAT HT-001 BEWELL #HEALTHYSEATHT001GRAY,BEWELL,HEALTHYSEATHT001GRAY,ไม่ระบุ,1,0,690,1,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00005,269909,             ,8859095859824,,SEAT BACK HEALTHY SEAT HT-001 BEWELL #HEALTHYSEATHT001BLUE,BEWELL,HEALTHYSEATHT001BLUE,ไม่ระบุ,3,0,690,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,269910,             ,8859095856731,,SEAT BACK HEALTHY SEAT HT-001 BEWELL #HEALTHYSEATHT001BLACK,BEWELL,HEALTHYSEATHT01BLACK,ไม่ระบุ,2,0,690,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,270475,             ,2000002704751,,DMI CABLE UGREEN #50821 HDMI 4K 5M BK,UGREEN,50821 HDMI 4K 5M BK,ไม่ระบุ,1,0,690,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,270478,             ,2000002704782,,PRINTER CABLE USB-A TO PRINTER UGREEN #10351CABLE 3 M BK,UGREEN,10351CABLE 3 M BK,ไม่ระบุ,4,0,290,4,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,270479,             ,2000002704799,,MINI USB CABLE TYPE-A TO MINI B UGREEN #10385 CABLE 1.5 M BK,UGREEN,10385 CABLE 1.5 M BK,ไม่ระบุ,4,0,180,4,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,270480,             ,2000002704805,,USB-A CABLE M TO F UGREEN #30126 USB 3.0 A BK,UGREEN,30126 USB 3.0 A BK,ไม่ระบุ,3,0,290,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,270481,             ,2000002704812,,CONVERTER TYPE-C TO 3.0 UGREEN #30155 USB-C TO A WH,UGREEN,30155 USB-C TO A WH,ไม่ระบุ,2,0,220,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,270879,             ,2000002708797,,CABLE TYPE-C 1.5 M UGREEN #50751 USB-C 1.5 M BK,UGREEN,50751 USB-C 1.5 M BK,ไม่ระบุ,6,0,590,6,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,270882,             ,2000002708827,,10000 MAH POWER BANK AUKEY #PB-N83S MINI BK,AUKEY,PB-N83S MINI BK,ไม่ระบุ,3,0,1290,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,273038,             ,2000002730385,,15000MAH POWER BANK VEGER #P15 15000 MAH 20W BK,VEGER,P15 15000 MAH 20W BK,ไม่ระบุ,3,0,1290,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,273039,             ,2000002730392,,15000MAH POWER BANK VEGER #P15 15000 MAH 20W WH,VEGER,P15 15000 MAH 20W WH,ไม่ระบุ,13,0,1290,2,Consign,VAR2
00010F111124002,3,DT Accessories,BS1+001+00002,273039,             ,2000002730392,,15000MAH POWER BANK VEGER #P15 15000 MAH 20W WH,VEGER,P15 15000 MAH 20W WH,ไม่ระบุ,13,0,1290,11,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,273248,             ,6950125749497,,KEY+MOUSE WIRELESS SILENT MOFII #LOLLIPOP MIXED BLACK,MOFII,LOLLIPOP MIXED BK,ไม่ระบุ,1,0,990,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,274008,             ,2000002740087,,ADAPTER  USB 3.0 GIGABITE LAN ADAPTER UGREEN #20255 WH,UGREEN,20255 WH,ไม่ระบุ,4,0,590,4,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,274009,             ,2000002740094,,USB HUB  USB 2.0 HUB 4 PORTS 1M UGREEN #20277 BK ,UGREEN,20277 BK ,ไม่ระบุ,3,0,290,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,274011,             ,2000002740117,,CABLE HDMI DISPLAY MALE TO MALE CABLE 1.5M UGREEN #10245 BK,UGREEN,10245 BK,ไม่ระบุ,2,0,495,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,274013,             ,2000002740131,,HDMI CABLE HDMI V2.0 FLAT CABLE 3M UGREEN #50820 BK,UGREEN,50820 BK,ไม่ระบุ,3,0,490,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00036,274014,             ,2000002740148,,ADAPTER USB 3.0 MALE TO FEMALE 3M UGREEN #30127 BK,UGREEN,30127 BK,ไม่ระบุ,2,0,350,2,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00035,274022,             ,2000002740223,,POWER SOCKET 4ช่อง+USB3 ช่อง 3M VEGER #VPST 3U3 12W WH,VEGER,VPST 3U3 12W WH,ไม่ระบุ,3,0,790,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,275837,             ,8859255800048,,เครื่องสำรองไฟ UPS MOON-I 1000VA/480W CHUPHOTIC #MO1000I BK,CHUPHOTIC,MO1000I ,ไม่ระบุ,1,0,1590,1,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00037,275841,             ,8859255800130,,เครื่องสำรองไฟ UPS MOON-PLUS 1250VA/750W CHUPHOTIC #MO1250P,CHUPHOTIC,MO1250P,ไม่ระบุ,3,0,3990,3,Consign,VAR2
00010F111124002,3,DT Accessories,SFL+001+00031,275920,             ,2000002759201,,20000 MAH POWER BANK AUKEY #PB-WL03S BK,AUKEY,PB-WL03S BK,ไม่ระบุ,4,0,2990,4,Consign,VAR2
